# Creado por Alejandro Venegas Robles. En caso de incidencias, contactar con alejandro2196vr@gmail.com
TIPO;TERMINOS_BUSQUEDA;ALERTA_CDI;TEXTO_NORMATIVO;REQUIERE_ARBOL
Diagnostico;retencion aguda de orina|rao|globo vesical|anuria obstructiva|retencion urinaria|obstruccion urinaria baja;La RAO es un síntoma. Especifique la causa (ej. HBP, fármacos) y documente SIEMPRE si ha provocado 'Fracaso Renal Agudo obstructivo', lo cual eleva drásticamente la severidad.;Retención aguda de orina secundaria a [HBP / Fármacos / Causa neurológica] [con / sin] Fracaso Renal Agudo postrenal.;TRUE
Diagnostico;asma|crisis asmatica|estatus asmatico|brote asmatico|broncoespasmo asmatico|exacerbacion asma;Evite 'crisis asmática' inespecífica. Para capturar severidad extrema, documente 'Estado asmático' (Status asthmaticus) si hay refractariedad clínica o distrés respiratorio.;Asma [intermitente / persistente] con [Exacerbación aguda / Estado Asmático].;TRUE
Diagnostico;erc agudizada|empeoramiento funcion renal|aki on ckd|fracaso renal sobre cronico|reagudizacion insuficiencia renal;Impacto doble en el GDR. Requiere documentar obligatoriamente ambos estadios: el Fracaso Renal Agudo (N17.9) y el estadio basal crónico.;Fracaso Renal Agudo [prerrenal / NTA] sobre Enfermedad Renal Crónica estadio [1-5].;TRUE
Diagnostico;pancreatitis|pancreatitis aguda|brote de pancreatitis|inflamacion pancreatica;Detalle la etiología (biliar, alcohólica, idiopática). Es vital documentar si hay necrosis, infección o SRIS asociado para elevar la complejidad al máximo.;Pancreatitis aguda [Biliar / Alcohólica / Idiopática] [sin / con] necrosis [estéril / infectada].;TRUE
Diagnostico;diarrea por c diff|clostridium|clostridioides|colitis pseudomembranosa|toxina c diff|diarrea nosocomial;Diagnóstico de muy alto impacto hospitalario. Diferencie entre enterocolitis simple y la forma severa con pseudomembranas.;Enterocolitis por Clostridioides difficile [con / sin] colitis pseudomembranosa.;TRUE
Diagnostico;gota|brote de gota|artritis gotosa|podagra|pseudogota|condrocalcinosis|ataque de gota;Especifique la articulación afectada y si es una forma idiopática o inducida (ej. por diuréticos, insuficiencia renal).;Artritis gotosa aguda [idiopática / secundaria] en [Articulación].;TRUE
Diagnostico;sdra|distres respiratorio|sindrome de distres respiratorio agudo|distres|distres pulmonar;Complicación mayor. No lo confunda documentalmente con 'insuficiencia respiratoria'. Especifique la etiología desencadenante.;Síndrome de Distrés Respiratorio Agudo (SDRA) secundario a [Etiología].;FALSE
Diagnostico;eap|edema agudo de pulmon|edema pulmonar agudo|pulmon de shock;Diferencie si es cardiogénico (I50.1) o no cardiogénico (J81.0, requiere etiología: tóxicos, altura, yatrogenia hídrica).;Edema Agudo de Pulmón [Cardiogénico / No Cardiogénico secundario a...].;TRUE
Diagnostico;shock cardiogenico|shock hipovolemico|shock hemorragico|shock anafilactico|paciente en shock;Tipifique siempre la etiología hemodinámica del shock. 'Paciente en shock' asigna un código inespecífico de bajo peso.;Shock [Cardiogénico / Hipovolémico / Hemorrágico / Anafiláctico].;TRUE
Diagnostico;cid|coagulacion intravascular diseminada|desfibrinacion|sris no infeccioso|sindrome de respuesta inflamatoria sistemica;Para el SRIS no infeccioso (ej. pancreatitis, trauma), especifique si asocia o no disfunción orgánica aguda. Escriba explícitamente 'CID'.;[Coagulación Intravascular Diseminada (CID) / Síndrome de Respuesta Inflamatoria Sistémica (SRIS) de origen no infeccioso con disfunción orgánica aguda].;TRUE
